Time	Level	Subject	Variable	Weight	Oxygen	Glucose
4.508	4.62E-06	1	1	1	0.28	16.5
5.275	3.81E-06	1	1	1	0.28	16.5
5.8399	1.16E-05	1	1	1	0.28	16.5
7.2749	1.67E-05	1	1	1	0.28	16.5
8.2928	3.27E-05	1	1	1	0.28	16.5
9.3369	3.71E-05	1	1	1	0.28	16.5
10.3865	5.38E-05	1	1	1	0.28	16.5
11.359	7.80E-05	1	1	1	0.28	16.5
12.6038	1.26E-04	1	1	1	0.28	16.5
13.3784	1.45E-04	1	1	1	0.28	16.5
15.4388	3.01E-04	1	1	1	0.28	16.5
16.444	3.36E-04	1	1	1	0.28	16.5
17.6016	3.46E-04	1	1	1	0.28	16.5
19.616	5.16E-04	1	1	1	0.28	16.5
20.5102	7.08E-04	1	1	1	0.28	16.5
4.4123	2.02E-06	2	1	1	0.28	16.5
5.4469	8.36E-06	2	1	1	0.28	16.5
6.686	1.04E-05	2	1	1	0.28	16.5
7.705	2.16E-05	2	1	1	0.28	16.5
8.8303	2.93E-05	2	1	1	0.28	16.5
9.5346	4.62E-05	2	1	1	0.28	16.5
10.861	9.08E-05	2	1	1	0.28	16.5
11.521	1.10E-04	2	1	1	0.28	16.5
12.9924	1.43E-04	2	1	1	0.28	16.5
13.4644	2.16E-04	2	1	1	0.28	16.5
14.7844	3.18E-04	2	1	1	0.28	16.5
15.718	4.56E-04	2	1	1	0.28	16.5
16.7263	5.84E-04	2	1	1	0.28	16.5
4.0355	1.60E-06	3	1	1	0.07	16.5
4.6282	3.24E-06	3	1	1	0.07	16.5
5.7649	7.23E-06	3	1	1	0.07	16.5
6.7737	8.07E-06	3	1	1	0.07	16.5
7.7229	2.62E-05	3	1	1	0.07	16.5
8.8867	2.92E-05	3	1	1	0.07	16.5
10.0527	3.75E-05	3	1	1	0.07	16.5
10.7565	5.60E-05	3	1	1	0.07	16.5
12.0004	7.38E-05	3	1	1	0.07	16.5
12.8149	7.91E-05	3	1	1	0.07	16.5
15.0316	1.37E-04	3	1	1	0.07	16.5
15.9628	1.53E-04	3	1	1	0.07	16.5
17.1278	1.84E-04	3	1	1	0.07	16.5
19.1798	1.78E-04	3	1	1	0.07	16.5
20.1177	2.93E-04	3	1	1	0.07	16.5
23.2172	3.18E-04	3	1	1	0.07	16.5
4.5425	1.96E-06	4	1	1	0.07	16.5
5.8384	5.71E-06	4	1	1	0.07	16.5
7.8746	2.16E-05	4	1	1	0.07	16.5
9.0934	6.36E-05	4	1	1	0.07	16.5
9.9848	6.62E-05	4	1	1	0.07	16.5
